id,x,y,deg
001_0,s-47.93014665278156627,s58.50504507378155949,s45.00000000000000000
002_0,s0.35463541879775801,s0.79571088234667497,s203.62937773055205071
002_1,s0.04644127955519900,s0.27279236773594401,s23.62937773055205071
003_0,s-0.29617052780654252,s-0.14809209171477986,s155.13405193710082131
003_1,s0.29617052780654252,s-0.05255115766440196,s66.37062226934300213
003_2,s0.18577064810468341,s-0.54744884233559810,s111.12513229289299943
004_0,s-0.32474778968217022,s0.13210997815187658,s156.37062215226978878
004_1,s0.31535434594788597,s0.13210997803623670,s156.37062229226989984
004_2,s0.32474778968217016,s-0.73210997812651724,s336.37062227226988398
004_3,s-0.31535434823888620,s-0.73210997815187651,s336.37062214926982051
005_0,s-0.46061913308807784,s0.15487226379471936,s293.62937765084711828
005_1,s-0.44895057996524590,s-0.75487226376020389,s23.62937787626181674
005_2,s0.46061913305736985,s-0.64497941202599718,s112.57350859636447638
005_3,s0.06443783830863289,s-0.42790251734460599,s66.35879863672307977
005_4,s0.24371776390819572,s0.13768113118457428,s212.45239248992379544
006_0,s-0.50433637758080607,s0.10003136995945737,s293.62937772975408279
006_1,s-0.11136787661915760,s-0.37943728839701601,s338.87232687575408363
006_2,s0.50433637733902859,s-0.68215144809353612,s338.87232685975402546
006_3,s-0.39697419024482339,s-0.74854494438230545,s23.62937772175388318
006_4,s-0.03735033606675291,s-0.80709697395223468,s246.37062227175408680
006_5,s0.50433637758080607,s0.20709697395223456,s158.87232689175414180
007_0,s0.40552982823837219,s-0.37059058731265082,s37.55983425336074788
007_1,s-0.62343152578173811,s-0.81566611962110414,s252.83010681205212222
007_2,s0.62343152578173588,s0.18742973739240362,s65.19649928832666319
007_3,s0.51578989092134964,s-0.91114840618458981,s336.37062208110603478
007_4,s-0.36770719846216504,s0.31114840618430817,s207.81661696495586966
007_5,s-0.12530084602275848,s-0.48312508094592532,s213.52151530365165399
007_6,s-0.46334416653417038,s-0.42804066669559204,s27.81661700445698671
008_0,s-0.24956221966944800,s-0.41109156860172702,s51.76673785010592610
008_1,s0.66466754307564802,s-0.85730535358773197,s113.62937780110598851
008_2,s-0.66466754307564802,s0.25730535597463200,s293.62937774010583780
008_3,s0.55730535530291203,s0.32683689311988900,s203.62937770010580607
008_4,s0.24956221961034800,s-0.18890842949027301,s231.76673778010581373
008_5,s-0.20658887558052200,s-0.85526210140453296,s293.62937779910589597
008_6,s0.20658887498042100,s0.25526210219153300,s113.62937773510589068
008_7,s-0.55730535548201199,s-0.92683689311988904,s23.62937773110587614
009_0,s0.10225263144534399,s-0.33154415446315899,s154.94474630472950594
009_1,s0.64301719155029502,s-0.46032702184280000,s205.52986071559394077
009_2,s-0.54800203584627105,s-0.96911558426404998,s24.47804804327540751
009_3,s-0.66714727344038605,s0.32428856507540299,s296.80593240589405468
